Interval,Transfer(MB),Bitrate(MB),Retr,Cwnd(KB),RTT
0,1.42,1.42,56,116.4,106.38
1,1.18,1.18,0,127.23,103.78
2,1.17,1.17,0,134.0,104.16
3,1.17,1.17,0,135.35,102.72
4,1.43,1.43,0,136.71,103.71
5,1.18,1.18,0,143.47,104.02
6,1.46,1.46,0,151.59,107.36
7,1.45,1.45,0,158.36,105.84
8,1.47,1.47,4,124.52,106.4
9,1.16,1.16,0,152.95,102.74
10,1.73,1.73,0,169.19,107.09
11,1.45,1.45,0,177.31,104.01
12,1.73,1.73,0,178.66,102.8
13,1.74,1.74,0,178.66,106.29
14,1.73,1.73,0,180.02,105.11
15,1.73,1.73,0,185.43,105.88
16,1.45,1.45,1,151.59,103.29
17,1.45,1.45,0,173.25,104.64
18,1.17,1.17,1,135.35,103.68
19,1.45,1.45,0,146.18,103.21
20,1.44,1.44,0,148.89,102.88
21,1.16,1.16,0,148.89,103.64
22,1.45,1.45,0,154.3,105.81
23,1.47,1.47,0,161.07,102.44
24,1.46,1.46,0,167.84,104.91
25,1.74,1.74,0,185.43,106.39
26,1.52,1.52,2,152.95,104.2
27,1.44,1.44,0,175.96,104.74
28,1.45,1.45,2,138.06,105.81
29,1.16,1.16,0,147.53,109.21
30,1.44,1.44,0,148.89,104.44
31,1.45,1.45,0,148.89,105.44
32,1.47,1.47,0,155.65,102.64
33,1.19,1.19,3,121.82,103.32
34,1.16,1.16,0,143.47,105.79
35,1.44,1.44,0,155.65,107.33
36,1.46,1.46,0,159.71,106.06
37,1.73,1.73,0,159.71,106.14
38,1.46,1.46,0,159.71,102.64
39,1.49,1.49,0,162.42,105.25
40,1.46,1.46,0,173.25,104.06
41,1.73,1.73,0,189.49,102.83
42,1.51,1.51,7,155.65,103.2
43,1.45,1.45,0,178.66,102.74
44,1.74,1.74,0,192.2,102.62
45,1.74,1.74,0,197.61,103.83
46,1.49,1.49,6,165.13,102.61
47,1.74,1.74,0,184.08,102.75
48,1.77,1.77,0,194.91,106.39
49,2.03,2.03,0,197.61,103.42
50,1.46,1.46,17,159.71,103.21
51,1.19,1.19,12,125.88,104.9
52,1.15,1.15,0,139.41,106.66
53,1.43,1.43,0,144.83,104.05
54,1.15,1.15,0,144.83,105.31
55,1.44,1.44,0,147.53,103.23
56,1.46,1.46,0,154.3,108.75
57,1.45,1.45,0,161.07,103.27
58,1.44,1.44,0,171.9,105.8
59,1.76,1.76,2,138.06,104.4
60,1.45,1.45,0,167.84,104.47
61,1.21,1.21,1,132.64,106.84
62,1.17,1.17,0,142.12,103.55
63,1.45,1.45,0,143.47,104.51
64,1.16,1.16,0,143.47,103.23
65,1.44,1.44,0,150.24,104.47
66,1.44,1.44,0,157.01,105.97
67,1.44,1.44,0,163.78,102.81
68,1.78,1.78,1,127.23,104.93
69,1.15,1.15,0,155.65,105.53
70,1.46,1.46,0,170.54,107.69
71,1.74,1.74,0,178.66,104.42
72,1.76,1.76,0,180.02,103.27
73,1.73,1.73,0,180.02,102.82
